product_id,product_name,category,cost_price,price
1,boAt BassPods Deep Blue Neo Black,Electronics Accessories,1349.25,1799
2,boAt BassPods Deep Blue Lite Blue,Electronics Accessories,755.37,1199
3,Noise Air Buds Mini Black Neo Black,Electronics Accessories,1359.32,1999
4,Noise Air Buds Mini Black Prime Black,Electronics Accessories,2375.34,3599
5,Realme Neckband Neo Silver Plus Black,Electronics Accessories,846.23,1099
6,Realme Neckband Neo Silver Max Red,Electronics Accessories,835.24,1099
7,Portronics Fast Charger 20W Prime Blue,Electronics Accessories,2959.2,3699
8,Portronics Fast Charger 20W Neo Red,Electronics Accessories,1407.36,2199
9,Mi Power Bank 10000mAh Pro Red,Electronics Accessories,692.3,989
10,Mi Power Bank 10000mAh Ultra Black,Electronics Accessories,1196.37,1899
11,Logitech Wireless Mouse Compact Max Grey,Electronics Accessories,652.74,989
12,Logitech Wireless Mouse Compact Lite Blue,Electronics Accessories,712.08,989
13,HP USB Keyboard Slim Ultra Silver,Electronics Accessories,944.37,1499
14,HP USB Keyboard Slim Pro Black,Electronics Accessories,256.74,389
15,Samsung Type C Cable 1m Lite Red,Electronics Accessories,329.25,439
16,Samsung Type C Cable 1m Plus Grey,Electronics Accessories,678.17,929
17,Ambrane Bluetooth Speaker Mini Plus White,Electronics Accessories,454.74,689
18,Ambrane Bluetooth Speaker Mini Lite Green,Electronics Accessories,1183.26,1599
19,Zebronics Gaming Mouse RGB Ultra Silver,Electronics Accessories,576.42,739
20,Zebronics Gaming Mouse RGB Neo Black,Electronics Accessories,327.98,529
21,Mamaearth Onion Hair Oil Max Green,Personal Care,479.52,999
22,Mamaearth Onion Hair Oil Plus Green,Personal Care,157.05,349
23,Minimalist Vitamin C Serum Plus White,Personal Care,158.73,429
24,Minimalist Vitamin C Serum Neo Green,Personal Care,52.47,159
25,Nivea Body Lotion Cocoa Lite Silver,Personal Care,142.29,279
26,Nivea Body Lotion Cocoa Lite Grey,Personal Care,162.43,439
27,Cetaphil Gentle Cleanser Neo Black,Personal Care,60.48,189
28,Cetaphil Gentle Cleanser Max Red,Personal Care,166.08,519
29,Maybelline Nude Matte Lipstick Max White,Personal Care,131.81,269
30,Maybelline Nude Matte Lipstick Neo Grey,Personal Care,145.77,339
31,Lakme Sun Expert SPF50 Neo Silver,Personal Care,129.12,269
32,Lakme Sun Expert SPF50 Ultra Black,Personal Care,597.54,1299
33,WOW Aloe Vera Gel Plus Green,Personal Care,167.58,399
34,WOW Aloe Vera Gel Lite Black,Personal Care,101.49,199
35,Himalaya Neem Face Wash Prime Grey,Personal Care,265.62,699
36,Himalaya Neem Face Wash Neo White,Personal Care,75.18,179
37,Biotique Morning Nectar Moisturizer Neo White,Personal Care,225.12,469
38,Biotique Morning Nectar Moisturizer Max Blue,Personal Care,61.16,139
39,Dove Intense Repair Shampoo Prime Silver,Personal Care,82.81,169
40,Dove Intense Repair Shampoo Pro Red,Personal Care,197.37,459
41,Milton Steel Water Bottle 1L Max Blue,Household,927.42,1599
42,Milton Steel Water Bottle 1L Plus Green,Household,450.59,1099
43,Cello Plastic Storage Box Plus Blue,Household,445.74,969
44,Cello Plastic Storage Box Ultra Grey,Household,403.73,859
45,Scotch Brite Floor Mop Plus White,Household,167.58,399
46,Scotch Brite Floor Mop Pro Red,Household,298.54,649
47,Prestige Cleaning Gloves Prime Green,Household,330.67,769
48,Prestige Cleaning Gloves Neo Grey,Household,939.53,1999
49,AmazonBasics Laundry Basket Prime Green,Household,727.44,1299
50,AmazonBasics Laundry Basket Neo Silver,Household,161.21,329
51,Home Centre Cushion Cover Pro Blue,Household,587.51,1199
52,Home Centre Cushion Cover Neo Grey,Household,364.05,809
53,Philips LED Bulb 12W Prime Green,Household,314.43,669
54,Philips LED Bulb 12W Plus Green,Household,944.37,1499
55,Ikea Drawer Organizer Ultra Grey,Household,1119.44,1999
56,Ikea Drawer Organizer Max Blue,Household,1044.45,1899
57,Dettol Disinfectant Spray Max Red,Household,263.56,599
58,Dettol Disinfectant Spray Prime Black,Household,492.42,849
59,Pigeon Dustbin Medium Pro Black,Household,571.56,1299
60,Pigeon Dustbin Medium Lite Green,Household,930.51,1899
61,Levis Crew Neck Black TShirt Max Black,Fashion Basics,413.4,689
62,Levis Crew Neck Black TShirt Prime Black,Fashion Basics,427.89,839
63,Allen Solly Formal Shirt Blue Pro Green,Fashion Basics,224.91,459
64,Allen Solly Formal Shirt Blue Ultra Red,Fashion Basics,223.08,429
65,Puma Running Shorts Grey Max Grey,Fashion Basics,895.44,1599
66,Puma Running Shorts Grey Prime Blue,Fashion Basics,1187.46,2199
67,Jockey Cotton Vest White Ultra Red,Fashion Basics,368.59,899
68,Jockey Cotton Vest White Max Red,Fashion Basics,647.64,1799
69,US Polo Casual Polo Navy Neo Blue,Fashion Basics,515.57,1199
70,US Polo Casual Polo Navy Pro Grey,Fashion Basics,259.98,619
71,Roadster Slim Fit Jeans Pro Red,Fashion Basics,479.6,1199
72,Roadster Slim Fit Jeans Max Blue,Fashion Basics,1474.41,2499
73,H&M Basic Hoodie Olive Plus Red,Fashion Basics,523.83,919
74,H&M Basic Hoodie Olive Prime Blue,Fashion Basics,1117.57,2599
75,Max Printed Kurti Yellow Neo Grey,Fashion Basics,147.39,289
76,Max Printed Kurti Yellow Plus Black,Fashion Basics,719.55,1599
77,Biba Ethnic Dupatta Maroon Plus Red,Fashion Basics,579.42,999
78,Biba Ethnic Dupatta Maroon Neo White,Fashion Basics,358.34,779
